" ","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994"
"Crimes","","","","","","","","","",""
"Violent Crimes","202,066","248,352","254,137","261,990","284,015","311,923","330,916","345,508","336,100","318,946"
"Homicide","2,781","3,030","2,929","2,947","3,159","3,562","3,876","3,920","4,095","3,699"
"Rape (Forcible Rape prior to 2014)","11,442","12,118","12,114","11,771","11,956","12,716","12,942","12,751","11,754","10,960"
"Rape","8,324","8,733","8,814","8,646","9,001","9,786","10,090","10,125","9,407","8,933"
"Attempted Rape","3,118","3,385","3,300","3,125","2,955","2,930","2,852","2,626","2,347","2,027"
"Robbery","86,464","92,513","83,373","86,190","96,424","112,460","125,105","130,867","126,347","112,149"
"Weapon","","","","","","","","","",""
"Firearm","29,829","30,256","28,032","28,146","31,650","38,658","44,933","50,121","51,901","44,472"
"Knife or Cutting Instrument","12,293","12,904","11,908","12,041","13,255","15,217","15,128","14,122","12,786","11,007"
"Other Weapon","7,684","9,484","7,022","7,794","8,718","9,799","13,672","15,900","15,179","13,833"
"Strong-Arm","36,658","39,869","36,411","38,209","42,801","48,786","51,372","50,724","46,481","42,837"
"Location","","","","","","","","","",""
"Highway","45,193","51,022","43,137","45,127","52,182","61,450","66,978","69,432","65,409","57,658"
"Commercial","12,292","13,423","11,756","11,968","13,156","15,175","17,228","18,566","19,512","17,667"
"Gas Station","2,797","2,526","2,269","2,124","2,381","2,743","3,007","3,319","3,213","2,650"
"Convenience Store","5,248","4,509","4,069","4,410","4,923","5,555","6,496","6,227","6,115","5,287"
"Residence","8,003","7,759","7,084","7,166","7,492","8,633","10,077","9,941","9,861","9,066"
"Bank","2,029","2,331","2,207","2,305","2,401","2,985","3,744","4,099","3,460","2,590"
"Miscellaneous","10,902","10,943","12,851","13,090","13,889","15,919","17,575","19,283","18,777","17,231"
"Aggravated Assault","101,379","140,691","155,721","161,082","172,476","183,185","188,993","197,970","193,904","192,138"
"Weapon","","","","","","","","","",""
"Firearm","19,434","23,176","25,447","27,194","33,239","37,125","40,063","43,635","44,881","39,334"
"Knife or Cutting Instrument","19,348","21,774","22,121","22,790","24,514","26,034","24,878","24,943","24,332","24,233"
"Other Weapon","33,015","42,917","43,847","46,830","50,837","52,914","54,307","55,762","52,234","53,649"
"Hands  Fists  Feet","29,582","52,824","64,306","64,268","63,886","67,112","69,745","73,630","72,457","74,922"
"Property Crimes","1,519,041","1,576,402","1,546,647","1,606,245","1,680,633","1,660,912","1,726,455","1,715,376","1,676,990","1,621,207"
"Burglary","449,065","457,743","420,182","407,555","410,148","402,533","426,066","427,305","413,671","384,414"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","308,102","314,734","284,652","272,659","275,897","270,551","291,458","292,554","281,838","260,298"
"No Force","140,963","143,009","135,530","134,896","134,251","131,982","134,608","134,751","131,833","124,116"
"Location / Time","","","","","","","","","",""
"Residence","300,723","304,264","277,055","265,415","259,861","252,919","266,516","259,921","255,047","239,317"
"Night","79,357","79,227","72,046","66,419","63,315","61,848","65,880","64,531","62,361","57,458"
"Day","144,177","146,608","131,792","126,463","124,446","119,770","124,677","119,406","115,183","105,229"
"Unknown","77,189","78,429","73,217","72,533","72,100","71,301","75,959","75,984","77,503","76,630"
"Non-Residence","148,342","153,479","143,127","142,140","150,287","149,614","159,550","167,384","158,624","145,097"
"Night","67,610","69,819","64,408","57,215","60,095","60,526","64,480","67,928","64,514","55,971"
"Day","33,036","36,519","32,318","37,460","39,247","38,742","41,570","46,131","41,418","37,618"
"Unknown","47,696","47,141","46,401","47,465","50,945","50,346","53,500","53,325","52,692","51,508"
"Motor Vehicle Theft","177,330","205,602","229,695","265,975","298,392","303,209","316,631","320,019","319,225","308,303"
"Automotive","121,958","139,745","152,502","176,223","204,900","213,157","226,778","236,123","234,745","225,838"
"Trucks and Buses","35,510","44,541","55,553","67,351","72,185","70,676","70,924","68,961","69,743","68,106"
