Year,Avg Annual LFPR,Avg Annual SNAP,Avg Annual UNEMP,Avg Annual PCPI,Avg Annual POV,Crimes,Violent Crimes,Homicide,Rape (Forcible Rape prior to 2014),Rape,Attempted Rape,Robbery,Weapon,Firearm,Knife or Cutting Instrument,Other Weapon,Strong-Arm,Location,Highway,Commercial,Gas Station,Convenience Store,Residence,Bank,Miscellaneous,Aggravated Assault,Weapon.1,Firearm.1,Knife or Cutting Instrument.1,Other Weapon.1,Hands  Fists  Feet,Property Crimes,Burglary,Means of Entry,Forcible Entry,No Force,Location / Time,Residence.1,Night,Day,Unknown,Non-Residence,Night.1,Day.1,Unknown.1,Motor Vehicle Theft,Automotive,Trucks and Buses,Other,Larceny-Theft,Type,Pocket-Picking,Purse-Snatching,Shoplifting,From Motor Vehicle,Motor Vehicle Accessories,Bicycles,From Building,Coin Operated Machine,Other.1,Value,Over $400,$200 through $400,$50 through $199,Under $50,Arson,Structural Property,Mobile Property,Other Property
1989,67.75833333333334,1813254.1666666667,5.083333333333333,20561.0,12.7,,284015.0,3159.0,11956.0,9001.0,2955.0,96424.0,,31650.0,13255.0,8718.0,42801.0,,52182.0,13156.0,2381.0,4923.0,7492.0,2401.0,13889.0,172476.0,,33239.0,24514.0,50837.0,63886.0,1680633.0,410148.0,,275897.0,134251.0,,259861.0,63315.0,124446.0,72100.0,150287.0,60095.0,39247.0,50945.0,298392.0,204900.0,72185.0,21307.0,972093.0,,5088.0,8630.0,175350.0,325187.0,115522.0,73226.0,118527.0,5028.0,145535.0,,250225.0,156462.0,224012.0,341394.0,19102.0,6618.0,5458.0,7026.0
1990,67.0,1986976.1666666667,5.766666666666667,21485.0,13.875,,311923.0,3562.0,12716.0,9786.0,2930.0,112460.0,,38658.0,15217.0,9799.0,48786.0,,61450.0,15175.0,2743.0,5555.0,8633.0,2985.0,15919.0,183185.0,,37125.0,26034.0,52914.0,67112.0,1660912.0,402533.0,,270551.0,131982.0,,252919.0,61848.0,119770.0,71301.0,149614.0,60526.0,38742.0,50346.0,303209.0,213157.0,70676.0,19376.0,955170.0,,5973.0,8674.0,178188.0,314904.0,109172.0,74620.0,116481.0,4923.0,142235.0,,253853.0,152756.0,215379.0,333182.0,19458.0,6646.0,5796.0,7016.0
1991,66.425,2300989.5,7.808333333333334,21857.0,15.05,,330916.0,3876.0,12942.0,10090.0,2852.0,125105.0,,44933.0,15128.0,13672.0,51372.0,,66978.0,17228.0,3007.0,6496.0,10077.0,3744.0,17575.0,188993.0,,40063.0,24878.0,54307.0,69745.0,1726455.0,426066.0,,291458.0,134608.0,,266516.0,65880.0,124677.0,75959.0,159550.0,64480.0,41570.0,53500.0,316631.0,226778.0,70924.0,18929.0,983758.0,,5556.0,8630.0,174685.0,342882.0,106812.0,77035.0,120210.0,5300.0,142648.0,,263753.0,159344.0,217943.0,342718.0,19375.0,6884.0,6011.0,6480.0
1992,66.39166666666667,2622444.333333333,9.366666666666667,22678.0,16.225,,345508.0,3920.0,12751.0,10125.0,2626.0,130867.0,,50121.0,14122.0,15900.0,50724.0,,69432.0,18566.0,3319.0,6227.0,9941.0,4099.0,19283.0,197970.0,,43635.0,24943.0,55762.0,73630.0,1715376.0,427305.0,,292554.0,134751.0,,259921.0,64531.0,119406.0,75984.0,167384.0,67928.0,46131.0,53325.0,320019.0,236123.0,68961.0,14935.0,968052.0,,5089.0,8104.0,165033.0,340141.0,101376.0,77949.0,120152.0,7097.0,143111.0,,256866.0,157105.0,215079.0,339002.0,21979.0,8326.0,6461.0,7192.0
1993,65.92500000000001,2951449.75,9.525,23013.0,17.4,,336100.0,4095.0,11754.0,9407.0,2347.0,126347.0,,51901.0,12786.0,15179.0,46481.0,,65409.0,19512.0,3213.0,6115.0,9861.0,3460.0,18777.0,193904.0,,44881.0,24332.0,52234.0,72457.0,1676990.0,413671.0,,281838.0,131833.0,,255047.0,62361.0,115183.0,77503.0,158624.0,64514.0,41418.0,52692.0,319225.0,234745.0,69743.0,14737.0,944094.0,,5303.0,7264.0,157718.0,334318.0,100974.0,67827.0,118324.0,6548.0,145818.0,,253175.0,152536.0,205297.0,333086.0,20343.0,6688.0,5744.0,7911.0
1994,65.81666666666668,3147999.25,8.658333333333333,23581.0,16.95,,318946.0,3699.0,10960.0,8933.0,2027.0,112149.0,,44472.0,11007.0,13833.0,42837.0,,57658.0,17667.0,2650.0,5287.0,9066.0,2590.0,17231.0,192138.0,,39334.0,24233.0,53649.0,74922.0,1621207.0,384414.0,,260298.0,124116.0,,239317.0,57458.0,105229.0,76630.0,145097.0,55971.0,37618.0,51508.0,308303.0,225838.0,68106.0,14359.0,928490.0,,4910.0,6159.0,145272.0,328586.0,101672.0,60989.0,119309.0,5302.0,156291.0,,254168.0,154163.0,196001.0,324158.0,18711.0,6387.0,5010.0,7314.0
1995,65.63333333333334,3186375.0,7.883333333333335,24629.0,16.5,,304998.0,3530.0,10550.0,8646.0,1904.0,104581.0,,40308.0,12937.0,8261.0,43075.0,,55035.0,15222.0,2485.0,4577.0,8137.0,2360.0,16765.0,186337.0,,36760.0,23810.0,53211.0,72556.0,1535960.0,353817.0,,240349.0,113468.0,,220124.0,56912.0,92379.0,70833.0,133693.0,51517.0,34350.0,47826.0,280317.0,206254.0,62031.0,12032.0,901826.0,,4452.0,5540.0,143014.0,317831.0,87981.0,54196.0,115673.0,5711.0,167428.0,,242334.0,147635.0,190248.0,321609.0,17105.0,5813.0,4669.0,6623.0
1996,65.65833333333333,3085164.083333333,7.341666666666668,25912.0,16.7,,274675.0,2910.0,10238.0,8303.0,1935.0,94137.0,,37168.0,9116.0,8614.0,39239.0,,45987.0,14986.0,2288.0,4160.0,7921.0,2423.0,16372.0,167390.0,,30868.0,21306.0,52019.0,63197.0,1382812.0,311778.0,,209677.0,102101.0,,194332.0,46358.0,85697.0,62277.0,117446.0,43994.0,32394.0,41058.0,242196.0,179960.0,52333.0,9903.0,828838.0,,4121.0,5343.0,132162.0,296587.0,81820.0,46474.0,113606.0,5232.0,143493.0,,215909.0,138480.0,179429.0,295020.0,17948.0,5601.0,5104.0,7243.0
1997,66.31666666666668,2673251.5,6.4,27171.0,16.0,,257409.0,2579.0,10182.0,8292.0,1890.0,81413.0,,31193.0,7795.0,7340.0,35085.0,,39089.0,13600.0,1783.0,3419.0,7262.0,1812.0,14448.0,163235.0,,25812.0,20771.0,50934.0,65718.0,1311157.0,298882.0,,196150.0,102732.0,,185720.0,44044.0,82571.0,59105.0,113162.0,41752.0,31844.0,39566.0,228540.0,168004.0,50799.0,9737.0,783735.0,,4182.0,5066.0,123024.0,269264.0,72567.0,50556.0,112184.0,5065.0,141827.0,,202919.0,127954.0,169833.0,283029.0,15875.0,4870.0,4696.0,6309.0
1998,66.65,2178820.583333333,5.958333333333333,29092.0,14.9,,229766.0,2170.0,9777.0,7939.0,1838.0,68752.0,,23799.0,6857.0,6699.0,31397.0,,31866.0,11277.0,1533.0,3270.0,6150.0,1611.0,13045.0,149067.0,,21641.0,19364.0,46290.0,61772.0,1187982.0,268847.0,,177354.0,91493.0,,164813.0,37949.0,73955.0,52909.0,104034.0,38661.0,30151.0,35222.0,195402.0,142390.0,44712.0,8300.0,723733.0,,4199.0,4586.0,111607.0,249296.0,70206.0,39350.0,105464.0,5429.0,133596.0,,186841.0,117021.0,154796.0,265075.0,14314.0,4687.0,4346.0,5281.0
