Year,Crimes,Violent Crimes,Homicide,Rape (Forcible Rape prior to 2014),Rape,Attempted Rape,Robbery,Weapon,Firearm,Knife or Cutting Instrument,Other Weapon,Strong-Arm,Location,Highway,Commercial,Gas Station,Convenience Store,Residence,Bank,Miscellaneous,Aggravated Assault,Weapon,Firearm,Knife or Cutting Instrument,Other Weapon,Hands  Fists  Feet,Property Crimes,Burglary,Means of Entry,Forcible Entry,No Force,Location / Time,Residence,Night,Day,Unknown,Non-Residence,Night,Day,Unknown,Motor Vehicle Theft,Automotive,Trucks and Buses,Other,Larceny-Theft,Type,Pocket-Picking,Purse-Snatching,Shoplifting,From Motor Vehicle,Motor Vehicle Accessories,Bicycles,From Building,Coin Operated Machine,Other,Value,Over $400,$200 through $400,$50 through $199,Under $50,Arson,Structural Property,Mobile Property,Other Property
1985,,"202,066","2,781","11,442","8,324","3,118","86,464",,"29,829","12,293","7,684","36,658",,"45,193","12,292","2,797","5,248","8,003","2,029","10,902","101,379",,"19,434","19,348","33,015","29,582","1,519,041","449,065",,"308,102","140,963",,"300,723","79,357","144,177","77,189","148,342","67,610","33,036","47,696","177,330","121,958","35,510","19,862","892,646",,"7,895","10,598","135,550","255,788","121,283","81,479","131,453","4,881","143,719",,"202,773","138,609","228,142","323,122","20,455","7,954","5,127","7,374"
1986,,"248,352","3,030","12,118","8,733","3,385","92,513",,"30,256","12,904","9,484","39,869",,"51,022","13,423","2,526","4,509","7,759","2,331","10,943","140,691",,"23,176","21,774","42,917","52,824","1,576,402","457,743",,"314,734","143,009",,"304,264","79,227","146,608","78,429","153,479","69,819","36,519","47,141","205,602","139,745","44,541","21,316","913,057",,"6,970","10,439","145,032","271,568","123,257","73,235","131,648","5,523","145,385",,"205,871","149,824","230,641","326,721","19,722","7,234","5,720","6,768"
1987,,"254,137","2,929","12,114","8,814","3,300","83,373",,"28,032","11,908","7,022","36,411",,"43,137","11,756","2,269","4,069","7,084","2,207","12,851","155,721",,"25,447","22,121","43,847","64,306","1,546,647","420,182",,"284,652","135,530",,"277,055","72,046","131,792","73,217","143,127","64,408","32,318","46,401","229,695","152,502","55,553","21,640","896,770",,"6,180","8,918","148,150","275,632","118,949","63,720","125,962","5,184","144,075",,"214,326","148,617","218,430","315,397","18,490","6,895","5,497","6,098"
1988,,"261,990","2,947","11,771","8,646","3,125","86,190",,"28,146","12,041","7,794","38,209",,"45,127","11,968","2,124","4,410","7,166","2,305","13,090","161,082",,"27,194","22,790","46,830","64,268","1,606,245","407,555",,"272,659","134,896",,"265,415","66,419","126,463","72,533","142,140","57,215","37,460","47,465","265,975","176,223","67,351","22,401","932,715",,"4,799","8,996","157,982","303,316","118,238","65,936","120,223","5,107","148,118",,"232,283","150,083","219,350","330,999","18,846","6,887","5,410","6,549"
1989,,"284,015","3,159","11,956","9,001","2,955","96,424",,"31,650","13,255","8,718","42,801",,"52,182","13,156","2,381","4,923","7,492","2,401","13,889","172,476",,"33,239","24,514","50,837","63,886","1,680,633","410,148",,"275,897","134,251",,"259,861","63,315","124,446","72,100","150,287","60,095","39,247","50,945","298,392","204,900","72,185","21,307","972,093",,"5,088","8,630","175,350","325,187","115,522","73,226","118,527","5,028","145,535",,"250,225","156,462","224,012","341,394","19,102","6,618","5,458","7,026"
1990,,"311,923","3,562","12,716","9,786","2,930","112,460",,"38,658","15,217","9,799","48,786",,"61,450","15,175","2,743","5,555","8,633","2,985","15,919","183,185",,"37,125","26,034","52,914","67,112","1,660,912","402,533",,"270,551","131,982",,"252,919","61,848","119,770","71,301","149,614","60,526","38,742","50,346","303,209","213,157","70,676","19,376","955,170",,"5,973","8,674","178,188","314,904","109,172","74,620","116,481","4,923","142,235",,"253,853","152,756","215,379","333,182","19,458","6,646","5,796","7,016"
1991,,"330,916","3,876","12,942","10,090","2,852","125,105",,"44,933","15,128","13,672","51,372",,"66,978","17,228","3,007","6,496","10,077","3,744","17,575","188,993",,"40,063","24,878","54,307","69,745","1,726,455","426,066",,"291,458","134,608",,"266,516","65,880","124,677","75,959","159,550","64,480","41,570","53,500","316,631","226,778","70,924","18,929","983,758",,"5,556","8,630","174,685","342,882","106,812","77,035","120,210","5,300","142,648",,"263,753","159,344","217,943","342,718","19,375","6,884","6,011","6,480"
1992,,"345,508","3,920","12,751","10,125","2,626","130,867",,"50,121","14,122","15,900","50,724",,"69,432","18,566","3,319","6,227","9,941","4,099","19,283","197,970",,"43,635","24,943","55,762","73,630","1,715,376","427,305",,"292,554","134,751",,"259,921","64,531","119,406","75,984","167,384","67,928","46,131","53,325","320,019","236,123","68,961","14,935","968,052",,"5,089","8,104","165,033","340,141","101,376","77,949","120,152","7,097","143,111",,"256,866","157,105","215,079","339,002","21,979","8,326","6,461","7,192"
1993,,"336,100","4,095","11,754","9,407","2,347","126,347",,"51,901","12,786","15,179","46,481",,"65,409","19,512","3,213","6,115","9,861","3,460","18,777","193,904",,"44,881","24,332","52,234","72,457","1,676,990","413,671",,"281,838","131,833",,"255,047","62,361","115,183","77,503","158,624","64,514","41,418","52,692","319,225","234,745","69,743","14,737","944,094",,"5,303","7,264","157,718","334,318","100,974","67,827","118,324","6,548","145,818",,"253,175","152,536","205,297","333,086","20,343","6,688","5,744","7,911"
1994,,"318,946","3,699","10,960","8,933","2,027","112,149",,"44,472","11,007","13,833","42,837",,"57,658","17,667","2,650","5,287","9,066","2,590","17,231","192,138",,"39,334","24,233","53,649","74,922","1,621,207","384,414",,"260,298","124,116",,"239,317","57,458","105,229","76,630","145,097","55,971","37,618","51,508","308,303","225,838","68,106","14,359","928,490",,"4,910","6,159","145,272","328,586","101,672","60,989","119,309","5,302","156,291",,"254,168","154,163","196,001","324,158","18,711","6,387","5,010","7,314"
1995,,"304,998","3,530","10,550","8,646","1,904","104,581",,"40,308","12,937","8,261","43,075",,"55,035","15,222","2,485","4,577","8,137","2,360","16,765","186,337",,"36,760","23,810","53,211","72,556","1,535,960","353,817",,"240,349","113,468",,"220,124","56,912","92,379","70,833","133,693","51,517","34,350","47,826","280,317","206,254","62,031","12,032","901,826",,"4,452","5,540","143,014","317,831","87,981","54,196","115,673","5,711","167,428",,"242,334","147,635","190,248","321,609","17,105","5,813","4,669","6,623"
1996,,"274,675","2,910","10,238","8,303","1,935","94,137",,"37,168","9,116","8,614","39,239",,"45,987","14,986","2,288","4,160","7,921","2,423","16,372","167,390",,"30,868","21,306","52,019","63,197","1,382,812","311,778",,"209,677","102,101",,"194,332","46,358","85,697","62,277","117,446","43,994","32,394","41,058","242,196","179,960","52,333","9,903","828,838",,"4,121","5,343","132,162","296,587","81,820","46,474","113,606","5,232","143,493",,"215,909","138,480","179,429","295,020","17,948","5,601","5,104","7,243"
1997,,"257,409","2,579","10,182","8,292","1,890","81,413",,"31,193","7,795","7,340","35,085",,"39,089","13,600","1,783","3,419","7,262","1,812","14,448","163,235",,"25,812","20,771","50,934","65,718","1,311,157","298,882",,"196,150","102,732",,"185,720","44,044","82,571","59,105","113,162","41,752","31,844","39,566","228,540","168,004","50,799","9,737","783,735",,"4,182","5,066","123,024","269,264","72,567","50,556","112,184","5,065","141,827",,"202,919","127,954","169,833","283,029","15,875","4,870","4,696","6,309"
1998,,"229,766","2,170","9,777","7,939","1,838","68,752",,"23,799","6,857","6,699","31,397",,"31,866","11,277","1,533","3,270","6,150","1,611","13,045","149,067",,"21,641","19,364","46,290","61,772","1,187,982","268,847",,"177,354","91,493",,"164,813","37,949","73,955","52,909","104,034","38,661","30,151","35,222","195,402","142,390","44,712","8,300","723,733",,"4,199","4,586","111,607","249,296","70,206","39,350","105,464","5,429","133,596",,"186,841","117,021","154,796","265,075","14,314","4,687","4,346","5,281"
1999,,"207,874","2,006","9,443","7,757","1,686","60,027",,"19,912","6,091","5,861","28,163",,"28,271","9,817","1,339","2,607","5,391","1,474","11,128","136,398",,"19,044","17,629","42,924","56,801","1,053,936","223,828",,"145,821","78,007",,"132,803","31,271","59,519","42,013","91,025","32,026","27,226","31,773","168,465","122,228","37,843","8,394","661,643",,"4,788","4,387","99,509","222,586","66,537","35,218","101,963","5,757","120,898",,"169,249","106,668","140,138","245,588","14,454","4,655","4,133","5,666"
