Year,Avg Annual PCPI
1970,4965.0
1971,5209.0
1972,5652.0
1973,6123.0
1974,6731.0
1975,7320.0
1976,7975.0
1977,8681.0
1978,9661.0
1979,10758.0
1980,11945.0
1981,13158.0
1982,13793.0
1983,14582.0
1984,15895.0
1985,16795.0
1986,17588.0
1987,18482.0
1988,19605.0
1989,20561.0
1990,21485.0
1991,21857.0
1992,22678.0
1993,23013.0
1994,23581.0
1995,24629.0
1996,25912.0
1997,27171.0
1998,29092.0
1999,30773.0
2000,33410.0
2001,34046.0
2002,34131.0
2003,35272.0
2004,37070.0
2005,38932.0
2006,41746.0
2007,43385.0
2008,43567.0
2009,41689.0
2010,43246.0
2011,45557.0
2012,48121.0
2013,48502.0
2014,51266.0
2015,54546.0
2016,56560.0
2017,58804.0
2018,61508.0
2019,64919.0
2020,70643.0
2021,76800.0
2022,77339.0
