Year,Avg Annual SNAP
1981,1619473.25
1982,1681049.9166666667
1983,1784323.5
1984,1647998.0833333333
1985,1613099.9166666667
1986,1629150.0
1987,1630587.1666666667
1988,1690491.0
1989,1813254.1666666667
1990,1986976.1666666667
1991,2300989.5
1992,2622444.3333333335
1993,2951449.75
1994,3147999.25
1995,3186375.0
1996,3085164.0833333335
1997,2673251.5
1998,2178820.5833333335
1999,1980579.5
2000,1782805.8333333333
2001,1663457.6666666667
2002,1698661.5833333333
2003,1733396.8333333333
2004,1909567.25
2005,1999161.5833333333
2006,2005421.9166666667
2007,2074381.4166666667
2008,2300892.9166666665
2009,2823025.9166666665
2010,3357445.6666666665
2011,3760865.5833333335
2012,4022281.1666666665
2013,4197569.25
2014,4384201.5
2015,4422455.75
2016,4288125.916666667
2017,4065284.8333333335
2018,3891812.0833333335
2019,3848877.0
2020,4371406.0
2021,4319750.666666667
