DATE,BRCA06M647NCEN
1981-01-01,1597227
1981-02-01,1615981
1981-03-01,1645020
1981-04-01,1635941
1981-05-01,1612883
1981-06-01,1598664
1981-07-01,1621549
1981-08-01,1621845
1981-09-01,1626588
1981-10-01,1639391
1981-11-01,1604857
1981-12-01,1613733
1982-01-01,1620258
1982-02-01,1647024
1982-03-01,1681602
1982-04-01,1672437
1982-05-01,1656505
1982-06-01,1648448
1982-07-01,1654731
1982-08-01,1683983
1982-09-01,1691403
1982-10-01,1711455
1982-11-01,1727728
1982-12-01,1777025
1983-01-01,1803938
1983-02-01,1818504
1983-03-01,1857356
1983-04-01,1846416
1983-05-01,1829531
1983-06-01,1800186
1983-07-01,1765956
1983-08-01,1759737
1983-09-01,1736298
1983-10-01,1716962
1983-11-01,1725784
1983-12-01,1751214
1984-01-01,1714852
1984-02-01,1727430
1984-03-01,1710523
1984-04-01,1687474
1984-05-01,1659928
1984-06-01,1634061
1984-07-01,1608768
1984-08-01,1606994
1984-09-01,1585584
1984-10-01,1603593
1984-11-01,1604814
1984-12-01,1631956
1985-01-01,1626734
1985-02-01,1637037
1985-03-01,1654419
1985-04-01,1642225
1985-05-01,1628984
1985-06-01,1616600
1985-07-01,1576200
1985-08-01,1588500
1985-09-01,1571200
1985-10-01,1599600
1985-11-01,1598000
1985-12-01,1617700
1986-01-01,1613700
1986-02-01,1638500
1986-03-01,1643000
1986-04-01,1658300
1986-05-01,1638900
1986-06-01,1622000
1986-07-01,1618900
1986-08-01,1619200
1986-09-01,1611200
1986-10-01,1636000
1986-11-01,1621400
1986-12-01,1628700
1987-01-01,1644818
1987-02-01,1651934
1987-03-01,1674646
1987-04-01,1670204
1987-05-01,1651444
1987-06-01,1631000
1987-07-01,1622000
1987-08-01,1601000
1987-09-01,1590000
1987-10-01,1600000
1987-11-01,1609000
1987-12-01,1621000
1988-01-01,1629000
1988-02-01,1654000
1988-03-01,1693000
1988-04-01,1697000
1988-05-01,1685000
1988-06-01,1679000
1988-07-01,1689000
1988-08-01,1694892
1988-09-01,1703000
1988-10-01,1696000
1988-11-01,1718000
1988-12-01,1748000
1989-01-01,1758000
1989-02-01,1769000
1989-03-01,1812000
1989-04-01,1809000
1989-05-01,1780476
1989-06-01,1797000
1989-07-01,1780476
1989-08-01,1827414
1989-09-01,1814642
1989-10-01,1848724
1989-11-01,1867755
1989-12-01,1894563
1990-01-01,1921727
1990-02-01,1926260
1990-03-01,1993066
1990-04-01,1972324
1990-05-01,1977204
1990-06-01,1999785
1990-07-01,1963270
1990-08-01,1989049
1990-09-01,1974546
1990-10-01,2009476
1990-11-01,2040007
1990-12-01,2077000
1991-01-01,2105919
1991-02-01,2150728
1991-03-01,2209083
1991-04-01,2250843
1991-05-01,2291144
1991-06-01,2300152
1991-07-01,2302900
1991-08-01,2364600
1991-09-01,2333500
1991-10-01,2394005
1991-11-01,2426600
1991-12-01,2482400
1992-01-01,2462000
1992-02-01,2511300
1992-03-01,2582100
1992-04-01,2613700
1992-05-01,2613500
1992-06-01,2629000
1992-07-01,2663607
1992-08-01,2658540
1992-09-01,2658346
1992-10-01,2658346
1992-11-01,2689726
1992-12-01,2729167
1993-01-01,2785282
1993-02-01,2837564
1993-03-01,2907539
1993-04-01,2938383
1993-05-01,2940870
1993-06-01,2960293
1993-07-01,3013167
1993-08-01,2960878
1993-09-01,2968776
1993-10-01,2994128
1993-11-01,3037221
1993-12-01,3073296
1994-01-01,3090695
1994-02-01,3120524
1994-03-01,3191890
1994-04-01,3178138
1994-05-01,3143099
1994-06-01,3154232
1994-07-01,3152578
1994-08-01,3145774
1994-09-01,3121396
1994-10-01,3140586
1994-11-01,3133258
1994-12-01,3203821
1995-01-01,3184531
1995-02-01,3177464
1995-03-01,3239422
1995-04-01,3211984
1995-05-01,3189385
1995-06-01,3181971
1995-07-01,3156809
1995-08-01,3150536
1995-09-01,3126048
1995-10-01,3227797
1995-11-01,3243734
1995-12-01,3146819
1996-01-01,3134412
1996-02-01,3152472
1996-03-01,3195064
1996-04-01,3181949
1996-05-01,3157498
1996-06-01,3128369
1996-07-01,3073894
1996-08-01,3076115
1996-09-01,3002553
1996-10-01,3005531
1996-11-01,2976035
1996-12-01,2938077
1997-01-01,2913501
1997-02-01,2917507
1997-03-01,2887327
1997-04-01,2852747
1997-05-01,2788043
1997-06-01,2787912
1997-07-01,2683006
1997-08-01,2606144
1997-09-01,2421300
1997-10-01,2440438
1997-11-01,2431724
1997-12-01,2349369
1998-01-01,2316912
1998-02-01,2236644
1998-03-01,2270446
1998-04-01,2240818
1998-05-01,2237876
1998-06-01,2199567
1998-07-01,2163964
1998-08-01,2131171
1998-09-01,2089896
1998-10-01,2107298
1998-11-01,2089154
1998-12-01,2062101
1999-01-01,2062758
1999-02-01,2029832
1999-03-01,2051856
1999-04-01,2043566
1999-05-01,2013442
1999-06-01,2013442
1999-07-01,1974212
1999-08-01,1952585
1999-09-01,1924820
1999-10-01,1922749
1999-11-01,1895136
1999-12-01,1882556
2000-01-01,1866598
2000-02-01,1861705
2000-03-01,1866047
2000-04-01,1840870
2000-05-01,1811434
2000-06-01,1789943
2000-07-01,1756434
2000-08-01,1746574
2000-09-01,1740317
2000-10-01,1730448
2000-11-01,1705207
2000-12-01,1678093
